# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],rudder[deg],Cx,Cy,Cz,Cl,Cm,Cn
-13.333333333333,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,-20.0,6.25,-0.001290828388,0.018626868699,-0.000847615588,0.0010212619,-0.001523334999,-0.008689357067
-13.333333333333,-20.0,12.5,-0.003868892894,0.03708179861,-0.001524740015,0.00203834325,-0.001486830511,-0.017326045244
-13.333333333333,-20.0,18.75,-0.007277390736,0.052944493162,-0.001958146631,0.002915037444,-0.000902414324,-0.024844491422
-13.333333333333,-20.0,25.0,-0.011142774631,0.066867742127,-0.002225098008,0.003686722486,0.000306100539,-0.031530262855
-13.333333333333,-15.0,-25.0,-0.013102086186,-0.058981511756,0.000233902139,-0.003221891857,0.006315429082,0.027834260814
-13.333333333333,-15.0,-18.75,-0.008934778723,-0.047401545342,8.19833e-07,-0.002599205937,0.003844603251,0.022256675861
-13.333333333333,-15.0,-12.5,-0.00511382637,-0.033765681291,-0.000144870688,-0.001859210117,0.001762918128,0.015784856399
-13.333333333333,-15.0,-6.25,-0.001920848634,-0.017280411883,-0.00015155967,-0.000955784082,0.000399998933,0.008067310458
-13.333333333333,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,-15.0,6.25,-0.001108746762,0.017745701145,0.000634111091,0.000991640955,0.002197020735,-0.008280353888
-13.333333333333,-15.0,12.5,-0.003502830762,0.035170258555,0.00141448864,0.001971613172,0.005738731107,-0.016432416805
-13.333333333333,-15.0,18.75,-0.006717316926,0.050016092488,0.002224341794,0.002810275768,0.009440579665,-0.023466064195
-13.333333333333,-15.0,25.0,-0.010392822491,0.062954096162,0.003043577375,0.003543997848,0.013372925231,-0.029676230478
-13.333333333333,-10.0,-25.0,-0.011863260909,-0.059079892065,0.004522957144,-0.002950282859,0.016937136856,0.027812218768
-13.333333333333,-10.0,-18.75,-0.007916873363,-0.047425283506,0.003506361184,-0.002374701117,0.012558727861,0.02221702185
-13.333333333333,-10.0,-12.5,-0.004369672357,-0.033740413684,0.002401659638,-0.001694252112,0.00813088693,0.01573968584
-13.333333333333,-10.0,-6.25,-0.001532769496,-0.017243469598,0.001182799427,-0.000868431255,0.003726035879,0.008034461411
-13.333333333333,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,-10.0,6.25,-0.001521182475,0.017593301017,-0.000780751792,0.000891896961,-0.001293250773,-0.00819731339
-13.333333333333,-10.0,12.5,-0.004382865768,0.034837079404,-0.001467502974,0.001767309812,-0.001787570923,-0.016255209557
-13.333333333333,-10.0,18.75,-0.007982086327,0.049483971431,-0.001966950573,0.002511538891,-0.001465352345,-0.023189826582
-13.333333333333,-10.0,25.0,-0.011978097449,0.062213795134,-0.002335258855,0.003158821776,-0.000395501513,-0.029299107676
-13.333333333333,-5.0,-25.0,-0.011360821365,-0.059279284747,0.005309279208,-0.002879198886,0.018648024552,0.02789021576
-13.333333333333,-5.0,-18.75,-0.007493201732,-0.047507934213,0.004158020907,-0.002310895407,0.01398086954,0.022245011185
-13.333333333333,-5.0,-12.5,-0.004052447647,-0.033738087791,0.002882409313,-0.001643472327,0.009184042235,0.015732174816
-13.333333333333,-5.0,-6.25,-0.001361703214,-0.017208039801,0.001439179356,-0.000839394379,0.004290380689,0.00801523422
-13.333333333333,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,-5.0,6.25,-0.001720747962,0.017418415052,-0.001061369704,0.000851248848,-0.001983931416,-0.008115404334
-13.333333333333,-5.0,12.5,-0.004783170226,0.03442277702,-0.002048777923,0.001680535533,-0.00317914744,-0.016062299363
-13.333333333333,-5.0,18.75,-0.008560484596,0.048810315271,-0.002823870121,0.002380404919,-0.003509284067,-0.022877422507
-13.333333333333,-5.0,25.0,-0.012740959263,0.061279421403,-0.003447628068,0.002985183158,-0.00327032101,-0.028866871534
