# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],elevator[deg],Cx,Cy,Cz,Cl,Cm,Cn
-16.666666666667,-20.0,-20.0,-0.018465493474,-0.013020123423,0.271273471,0.004202234512,0.675124143371,0.00521180081
-16.666666666667,-20.0,-15.0,-0.009819381843,-0.010105670965,0.211810417676,0.00328497052,0.526983851427,0.004033216087
-16.666666666667,-20.0,-10.0,-0.003215180214,-0.00683471215,0.145358178093,0.002257836781,0.361487470867,0.002716201703
-16.666666666667,-20.0,-5.0,0.000290311238,-0.003342084728,0.072150964003,0.001123219806,0.179244583589,0.001322020032
-16.666666666667,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,-20.0,5.0,-0.00869281262,0.003763580133,-0.070550160811,-0.001110404537,-0.1751783753,-0.001483858506
-16.666666666667,-20.0,10.0,-0.021167058971,0.007377561003,-0.139675558036,-0.002215513002,-0.34719772658,-0.002893736035
-16.666666666667,-20.0,15.0,-0.035713787422,0.010495627862,-0.20030098103,-0.003201405358,-0.497771262828,-0.004096601168
-16.666666666667,-20.0,20.0,-0.051425481638,0.013123355349,-0.252778446394,-0.004070215785,-0.627876924499,-0.005097194414
-16.666666666667,-15.0,-20.0,-0.018045800631,-0.008899117503,0.275501428408,0.003223721076,0.684846582822,0.003409107746
-16.666666666667,-15.0,-15.0,-0.009370778194,-0.006882725007,0.21521928698,0.002522044574,0.534842370923,0.002629913852
-16.666666666667,-15.0,-10.0,-0.002808600012,-0.004641908621,0.147745862519,0.001734963253,0.367013633017,0.001766662963
-16.666666666667,-15.0,-5.0,0.000543116504,-0.002236006147,0.073358935835,0.00086393195,0.182082529761,0.000845780715
-16.666666666667,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,-15.0,5.0,-0.009034480651,0.002656886181,-0.071733185771,-0.000854483851,-0.17794860013,-0.001016780182
-16.666666666667,-15.0,10.0,-0.021905639671,0.005208100573,-0.14208607731,-0.001706345652,-0.352597316585,-0.001985025413
-16.666666666667,-15.0,15.0,-0.036890248377,0.007415078265,-0.203847812066,-0.00246741108,-0.505650446454,-0.002815619659
-16.666666666667,-15.0,20.0,-0.053141502909,0.009252484315,-0.257345469052,-0.003138876506,-0.638015632971,-0.003497974784
-16.666666666667,-10.0,-20.0,-0.017696517086,-0.00541563891,0.278768411745,0.002178652946,0.692405695754,0.002007300823
-16.666666666667,-10.0,-15.0,-0.009007646517,-0.004181201228,0.217831946602,0.001705404467,0.540895548963,0.00154645575
-16.666666666667,-10.0,-10.0,-0.002487843241,-0.002821989295,0.149568533146,0.001173894078,0.371246872807,0.00104044064
-16.666666666667,-10.0,-5.0,0.000744681796,-0.001370287304,0.07427619972,0.000584928565,0.184236609047,0.00050314814
-16.666666666667,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,-10.0,5.0,-0.009281566044,0.001665486823,-0.072634984269,-0.000579232146,-0.180056422635,-0.000625178889
-16.666666666667,-10.0,10.0,-0.022441505009,0.003264113629,-0.143920222157,-0.001157355125,-0.356729874424,-0.001221496314
-16.666666666667,-10.0,15.0,-0.037758214506,0.004634469459,-0.206534729418,-0.001674392452,-0.511664280996,-0.001728628613
-16.666666666667,-10.0,20.0,-0.054418019054,0.005789556794,-0.260808417775,-0.002130951199,-0.645770220644,-0.002152145278
-16.666666666667,-5.0,-20.0,-0.017562430477,-0.002529955563,0.280666395392,0.001085845693,0.696880725108,0.000926015577
-16.666666666667,-5.0,-15.0,-0.00884757506,-0.001954908127,0.21934126535,0.000850256098,0.544476108809,0.000714611499
-16.666666666667,-5.0,-10.0,-0.002335318671,-0.001323665862,0.15061804163,0.000585466223,0.373770688717,0.000483014814
-16.666666666667,-5.0,-5.0,0.000845893394,-0.000644538034,0.07480537092,0.000291829229,0.185571111144,0.000234577288
-16.666666666667,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,-5.0,5.0,-0.009382341166,0.000794740142,-0.073158616767,-0.000289494469,-0.181177543262,-0.00029731114
-16.666666666667,-5.0,10.0,-0.022678867164,0.001558156096,-0.144985547075,-0.000578620115,-0.359023538821,-0.000581662961
