# AeroScout
parameter,independent_variables,2
alpha[deg],qbar,Cx,Cy,Cz,Cl,Cm,Cn
-6.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.666666666667,0.001747842526,-0.000712835067,-0.0,-0.006836365729,0.0,-0.019884059822,0.0
-6.666666666667,0.003495685052,-0.00134021297,-0.0,-0.013639139052,0.0,-0.039675847394,0.0
-6.666666666667,0.005243527578,-0.001882539483,0.0,-0.020410886959,-0.0,-0.059381875308,-0.0
-6.666666666667,0.006991370104,-0.00234025601,-0.0,-0.027153874533,0.0,-0.079007890801,0.0
-6.666666666667,0.008739212631,-0.002714567583,-0.0,-0.033867087307,-0.0,-0.098551329516,0.0
-3.333333333333,-0.008739212631,0.003797085168,0.0,0.031822591827,-0.0,0.098414006416,-0.0
-3.333333333333,-0.006991370104,0.002869391538,-0.0,0.025397999311,0.0,0.078561650733,0.0
-3.333333333333,-0.005243527578,0.002026197207,0.0,0.019006077897,-0.0,0.05880074963,-0.0
-3.333333333333,-0.003495685052,0.001267125328,0.0,0.012644204976,0.0,0.039124654304,-0.0
-3.333333333333,-0.001747842526,0.00059183049,0.0,0.006309732384,0.0,0.019526651916,-0.0
-3.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.333333333333,0.001747842526,-0.000508645617,0.0,-0.006287660035,-0.0,-0.019462062959,-0.0
-3.333333333333,0.003495685052,-0.000934352324,0.0,-0.012555921373,-0.0,-0.038866312707,-0.0
-3.333333333333,0.005243527578,-0.001277332384,0.0,-0.018807462486,0.0,-0.058219536869,-0.0
-3.333333333333,0.006991370104,-0.001537764356,0.0,-0.025044966665,0.0,-0.077528535054,-0.0
-3.333333333333,0.008739212631,-0.00171579356,0.0,-0.0312711246,-0.0,-0.096800125436,-0.0
0.0,-0.008739212631,0.002486919695,-0.0,0.029130955217,-0.0,0.096655689704,0.0
0.0,-0.006991370104,0.001824971018,-0.0,0.023274266566,-0.0,0.077227653014,0.0
0.0,-0.005243527578,0.001245637123,0.0,0.017435908233,-0.0,0.057855833135,-0.0
0.0,-0.003495685052,0.000748674783,-0.0,0.011613077658,0.0,0.038533143378,0.0
0.0,-0.001747842526,0.000333766487,-0.0,0.005802690717,0.0,0.019251810482,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.001747842526,-0.000254807777,-0.0,-0.005805126968,0.0,-0.019247562558,0.0
0.0,0.003495685052,-0.000419559709,-0.0,-0.011579455414,0.0,-0.038409007898,0.0
0.0,0.005243527578,-0.000503662255,-0.0,-0.017356524845,-0.0,-0.057567384545,0.0
0.0,0.006991370104,-0.000507368308,0.0,-0.023138285494,0.0,-0.076727485609,-0.0
0.0,0.008739212631,-0.000429374449,-0.0,-0.028923906031,0.0,-0.095887500923,0.0
3.333333333333,-0.008739212631,0.001119605455,0.0,0.02674038756,-0.0,0.095658835542,-0.0
3.333333333333,-0.006991370104,0.000732003271,0.0,0.021390165703,-0.0,0.076500002481,-0.0
3.333333333333,-0.005243527578,0.00042621649,-0.0,0.016043646031,-0.0,0.057361363044,0.0
3.333333333333,-0.003495685052,0.000202257262,-0.0,0.010698209259,-0.0,0.038236283035,0.0
3.333333333333,-0.001747842526,6.0162902e-05,0.0,0.005351211899,-0.0,0.019118068625,-0.0
3.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.333333333333,0.001747842526,2.1866119e-05,-0.0,-0.005358084591,-0.0,-0.01912465341,0.0
3.333333333333,0.003495685052,0.000125890306,0.0,-0.010725701444,-0.0,-0.038262626169,-0.0
3.333333333333,0.005243527578,0.000312232783,0.0,-0.016105511029,-0.0,-0.057420655627,0.0
3.333333333333,0.006991370104,0.000581083798,0.0,-0.021500176654,0.0,-0.076605486718,-0.0
3.333333333333,0.008739212631,0.000932661114,0.0,-0.026912370596,0.0,-0.09582388705,-0.0
6.666666666667,-0.008739212631,-0.000320943933,-0.0,0.024759962868,0.0,0.095614477386,-0.0
6.666666666667,-0.006991370104,-0.000421893446,0.0,0.019836498522,0.0,0.076540534058,-0.0
6.666666666667,-0.005243527578,-0.000440951464,0.0,0.014894452485,0.0,0.057430516469,-0.0
6.666666666667,-0.003495685052,-0.00037740727,-0.0,0.009926035997,0.0,0.038263590308,-0.0
6.666666666667,-0.001747842526,-0.000230414185,0.0,0.004952935432,-0.0,0.019097723264,-0.0
6.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.666666666667,0.001747842526,0.000314343296,-0.0,-0.004976170742,-0.0,-0.019145504433,0.0
6.666666666667,0.003495685052,0.00071210055,-0.0,-0.009988469231,-0.0,-0.03837231302,0.0
6.666666666667,0.005243527578,0.001193356946,-0.0,-0.015033320847,0.0,-0.057670295142,0.0
6.666666666667,0.006991370104,0.001758589598,0.0,-0.020109993026,0.0,-0.077037189792,-0.0
6.666666666667,0.008739212631,0.002408310354,0.0,-0.025219790171,0.0,-0.096476193576,-0.0
10.0,-0.008739212631,-0.001878142692,0.0,0.023109767344,0.0,0.096224359392,-0.0
