# AeroScout
parameter,independent_variables,2
alpha[deg],pbar,Cx,Cy,Cz,Cl,Cm,Cn
0.0,-0.022776546739,0.000272839186,0.002979403647,-0.000103107231,0.011485349854,0.000175542073,-0.000166840162
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.022776546739,0.000272839186,-0.002979403647,-0.000103107231,-0.011485349854,0.000175542073,0.000166840162
0.0,0.045553093477,0.00104493898,-0.005651964698,0.000121143094,-0.022973405037,0.000134537443,0.000195436797
0.0,0.068329640216,0.002391434831,-0.008118435912,-0.000434933473,-0.034489552044,0.000916540824,0.000129456882
0.0,0.091106186954,0.004219193737,-0.010698782957,-0.000285351468,-0.046066140576,0.001153808368,0.000110762285
0.0,0.113882733693,0.006656960058,-0.013177599685,-0.001367014544,-0.05771554435,0.002629170682,4.079718e-05
3.333333333333,-0.113882733693,0.006816442446,0.015405289425,-0.004280122058,0.058445199802,0.000633965802,0.002779489982
3.333333333333,-0.091106186954,0.004347367761,0.011696172944,-0.002734646373,0.046594742742,0.000413950793,0.002493092122
3.333333333333,-0.068329640216,0.002445067831,0.008917738814,-0.001537460564,0.034892190768,0.000233719592,0.001794816624
3.333333333333,-0.045553093477,0.001086673813,0.005959923707,-0.000682191497,0.023231138306,0.000107662965,0.001185654612
3.333333333333,-0.022776546739,0.000272029934,0.002968291062,-0.000169138468,0.011604226727,3.032276e-05,0.000597057545
3.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.333333333333,0.022776546739,0.000272029934,-0.002968291062,-0.000169138468,-0.011604226727,3.032276e-05,-0.000597057545
3.333333333333,0.045553093477,0.001086673813,-0.005959923707,-0.000682191497,-0.023231138306,0.000107662965,-0.001185654612
3.333333333333,0.068329640216,0.002445067831,-0.008917738814,-0.001537460564,-0.034892190768,0.000233719592,-0.001794816624
3.333333333333,0.091106186954,0.004347367761,-0.011696172944,-0.002734646373,-0.046594742742,0.000413950793,-0.002493092122
3.333333333333,0.113882733693,0.006816442446,-0.015405289425,-0.004280122058,-0.058445199802,0.000633965802,-0.002779489982
6.666666666667,-0.113882733693,0.007240850548,0.016883386471,-0.007093884609,0.059980207845,-0.000689124987,0.00599275169
6.666666666667,-0.091106186954,0.004631373586,0.013617381717,-0.004519679758,0.04788307049,-0.000441017182,0.004720494332
6.666666666667,-0.068329640216,0.002614425866,0.010369015647,-0.00254343428,0.035861612063,-0.000177042274,0.003455411785
6.666666666667,-0.045553093477,0.001168118689,0.00721414992,-0.001093385262,0.023905890697,-2.2201689e-05,0.002158791446
6.666666666667,-0.022776546739,0.000294820661,0.00343344619,-0.000237578254,0.011926058125,9.5584459e-05,0.001157190248
6.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.666666666667,0.022776546739,0.000294820661,-0.00343344619,-0.000237578254,-0.011926058125,9.5584459e-05,-0.001157190248
6.666666666667,0.045553093477,0.001168118689,-0.00721414992,-0.001093385262,-0.023905890697,-2.2201689e-05,-0.002158791446
6.666666666667,0.068329640216,0.002614425866,-0.010369015647,-0.00254343428,-0.035861612063,-0.000177042274,-0.003455411785
6.666666666667,0.091106186954,0.004631373586,-0.013617381717,-0.004519679758,-0.04788307049,-0.000441017182,-0.004720494332
6.666666666667,0.113882733693,0.007240850548,-0.016883386471,-0.007093884609,-0.059980207845,-0.000689124987,-0.00599275169
10.0,-0.113882733693,0.007807264464,0.015555799361,-0.009848107889,0.062061337481,-0.001882413122,0.010608069698
10.0,-0.091106186954,0.004992486849,0.012449573877,-0.006308186519,0.049539974774,-0.001214950432,0.008453584825
10.0,-0.068329640216,0.00280650458,0.00934238362,-0.003550724847,0.037091546529,-0.000687944627,0.006319927781
10.0,-0.045553093477,0.001246806167,0.006233133402,-0.001578842678,0.024697681193,-0.000307204152,0.004202538615
10.0,-0.022776546739,0.000311655266,0.003122222055,-0.00039484583,0.012340058842,-7.7115832e-05,0.002096157134
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.022776546739,0.000311655266,-0.003122222055,-0.00039484583,-0.012340058842,-7.7115832e-05,-0.002096157134
10.0,0.045553093477,0.001246806167,-0.006233133402,-0.001578842678,-0.024697681193,-0.000307204152,-0.004202538615
10.0,0.068329640216,0.00280650458,-0.00934238362,-0.003550724847,-0.037091546529,-0.000687944627,-0.006319927781
10.0,0.091106186954,0.004992486849,-0.012449573877,-0.006308186519,-0.049539974774,-0.001214950432,-0.008453584825
10.0,0.113882733693,0.007807264464,-0.015555799361,-0.009848107889,-0.062061337481,-0.001882413122,-0.010608069698
13.333333333333,-0.113882733693,0.008579455226,0.014296601644,-0.01235624009,0.064889489799,-0.002652804992,0.015385478359
13.333333333333,-0.091106186954,0.005487045637,0.011428087536,-0.007913311746,0.051801568437,-0.001705015655,0.012275019117
13.333333333333,-0.068329640216,0.003084823223,0.00856574314,-0.004453596992,0.038787069094,-0.000962348218,0.009186731316
13.333333333333,-0.045553093477,0.001370532484,0.005707907756,-0.001980163092,0.025827586509,-0.000428870352,0.006115183234
