# AeroScout
parameter,independent_variables,2
alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
16.666666666667,10.0,0.293881452351,-0.075211462211,-1.657131052337,0.024090267807,-0.374138534534,0.01877601878
16.666666666667,15.0,0.286093395226,-0.112366484853,-1.649955987363,0.035643269403,-0.364943720597,0.026690498229
16.666666666667,20.0,0.276022529876,-0.1543901517,-1.646546854681,0.047816237699,-0.368227692599,0.035332034437
20.0,-20.0,0.396534718857,0.148197033124,-1.942736338663,-0.057750015891,-0.507470780024,-0.043444653071
20.0,-15.0,0.41244470576,0.108102922474,-1.947678680375,-0.042931659721,-0.512648908297,-0.03306182243
20.0,-10.0,0.422774350727,0.07150840136,-1.951282220216,-0.028694109721,-0.517259865538,-0.022638245338
20.0,-5.0,0.429151433285,0.036655881967,-1.95575529584,-0.014319566372,-0.52596236829,-0.01196591117
20.0,0.0,0.431163996001,-0.0,-1.957381675691,0.0,-0.529356715774,0.0
20.0,5.0,0.429151433285,-0.036655881967,-1.95575529584,0.014319566372,-0.52596236829,0.01196591117
20.0,10.0,0.422774350727,-0.07150840136,-1.951282220216,0.028694109721,-0.517259865538,0.022638245338
20.0,15.0,0.41244470576,-0.108102922474,-1.947678680375,0.042931659721,-0.512648908297,0.03306182243
20.0,20.0,0.396534718857,-0.148197033124,-1.942736338663,0.057750015891,-0.507470780024,0.043444653071
