# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],aileron[deg],Cx,Cy,Cz,Cl,Cm,Cn
-16.666666666667,-15.0,-5.0,-0.018234176672,0.001660844315,0.00566751456,0.030948863796,0.050304299934,-0.001791100903
-16.666666666667,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,-15.0,5.0,0.002300351625,0.001678205968,-0.001233380202,-0.030553653973,-0.042735616852,0.001835886561
-16.666666666667,-15.0,10.0,0.000961070216,0.003538291654,-0.000830347051,-0.060947063791,-0.083503160821,0.003639238891
-16.666666666667,-15.0,15.0,-0.00399221196,0.005535209653,0.001073325802,-0.087980184251,-0.118159334155,0.005246580616
-16.666666666667,-15.0,20.0,-0.011513000364,0.007613730253,0.004022328677,-0.111680969425,-0.146981675704,0.006666395322
-16.666666666667,-10.0,-20.0,-0.079693645716,0.007099887993,0.02896440547,0.118210276176,0.152138332098,-0.008438737879
-16.666666666667,-10.0,-15.0,-0.057028309131,0.005351114631,0.020740681872,0.092957050202,0.116612029585,-0.006658953749
-16.666666666667,-10.0,-10.0,-0.035287128738,0.003559376313,0.012810177738,0.064280038829,0.078446226097,-0.004628159736
-16.666666666667,-10.0,-5.0,-0.015607582399,0.001745379015,0.005616574035,0.032174731645,0.038187708421,-0.002337436087
-16.666666666667,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,-10.0,5.0,-0.000948060948,0.000465997603,-0.00111587627,-0.031911283312,-0.030456351125,0.002376595241
-16.666666666667,-10.0,10.0,-0.00597611829,0.001037346943,-0.000635207823,-0.063690867632,-0.058972305347,0.004730776033
-16.666666666667,-10.0,15.0,-0.01457845179,0.001750519316,0.001306919935,-0.091998515483,-0.082347889668,0.006843633709
-16.666666666667,-10.0,20.0,-0.02563160711,0.002582854773,0.00426467457,-0.116855931304,-0.1012545982,0.008715715804
-16.666666666667,-5.0,-20.0,-0.068943596068,0.006584289933,0.024299311503,0.121215120305,0.093860239727,-0.009991860637
-16.666666666667,-5.0,-15.0,-0.048235204576,0.005080169995,0.017105742857,0.095335190216,0.070853701655,-0.007872004488
-16.666666666667,-5.0,-10.0,-0.028941293056,0.003455919002,0.010324433856,0.065935698265,0.046844490519,-0.005461188438
-16.666666666667,-5.0,-5.0,-0.01228456772,0.001718665894,0.004389452347,0.033008115787,0.02238499948,-0.00275160515
-16.666666666667,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,-5.0,5.0,-0.004691569713,-0.000618260297,0.000134027723,-0.032876085581,-0.014592698116,0.002774138133
-16.666666666667,-5.0,10.0,-0.01375320885,-0.001186077257,0.001822611665,-0.06564164892,-0.027119292211,0.005525423607
-16.666666666667,-5.0,15.0,-0.02624365468,-0.001591523533,0.004811960943,-0.094858119689,-0.036259616873,0.007991083781
-16.666666666667,-5.0,20.0,-0.040940237709,-0.001845929616,0.008666975632,-0.120542313629,-0.042567868017,0.010173492712
-16.666666666667,0.0,-20.0,-0.05578676847,0.004908756672,0.016412939656,0.122084486019,0.025637263996,-0.01062122309
-16.666666666667,0.0,-15.0,-0.037771477582,0.00387990114,0.010920813327,0.096040748408,0.017297200317,-0.008353708302
-16.666666666667,0.0,-10.0,-0.021612480789,0.002696294317,0.006060968976,0.066438881629,0.009867979092,-0.005784348981
-16.666666666667,0.0,-5.0,-0.008564279742,0.001355882347,0.002263504876,0.033266361528,0.003901829568,-0.002908125474
-16.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
