# AeroScout
parameter,independent_variables,2
alpha[deg],rbar,Cx,Cy,Cz,Cl,Cm,Cn
-3.333333333333,0.012653637077,1.6477372e-05,0.002129704742,1.198178e-06,0.000457277211,8.667499e-06,-0.001526269447
-3.333333333333,0.018980455615,3.880082e-05,0.003193964827,2.9205659e-05,0.000686470237,8.4815509e-05,-0.002289287688
0.0,-0.018980455615,1.7502003e-05,-0.002096631165,4.9599791e-05,-0.001317090926,-6.3506287e-05,0.001762639055
0.0,-0.012653637077,1.3508412e-05,-0.000663544016,-7.8433245e-05,-0.000837986764,7.4330864e-05,0.000846757494
0.0,-0.006326818538,1.272332e-06,0.000311054263,3.6110085e-05,-0.000384255768,-3.1859013e-05,0.000136113265
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.006326818538,1.272332e-06,-0.000311054263,3.6110085e-05,0.000384255768,-3.1859013e-05,-0.000136113265
0.0,0.012653637077,1.3508412e-05,0.000663544016,-7.8433245e-05,0.000837986764,7.4330864e-05,-0.000846757494
0.0,0.018980455615,1.7502003e-05,0.002096631165,4.9599791e-05,0.001317090926,-6.3506287e-05,-0.001762639055
3.333333333333,-0.018980455615,4.405003e-05,-0.004016590093,-4.8091978e-05,-0.00213242365,-9.2098666e-05,0.002572735405
3.333333333333,-0.012653637077,1.9716999e-05,-0.002693585062,-2.1796258e-05,-0.001421874986,-4.2151513e-05,0.001722106923
3.333333333333,-0.006326818538,4.931184e-06,-0.001351188889,-5.668752e-06,-0.000710779717,-1.1049972e-05,0.000862928169
3.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.333333333333,0.006326818538,4.931184e-06,0.001351188889,-5.668752e-06,0.000710779717,-1.1049972e-05,-0.000862928169
3.333333333333,0.012653637077,1.9716999e-05,0.002693585062,-2.1796258e-05,0.001421874986,-4.2151513e-05,-0.001722106923
3.333333333333,0.018980455615,4.405003e-05,0.004016590093,-4.8091978e-05,0.00213242365,-9.2098666e-05,-0.002572735405
6.666666666667,-0.018980455615,5.3932484e-05,-0.004104611211,-1.516361e-06,-0.002878889903,7.331742e-06,0.00256643799
6.666666666667,-0.012653637077,6.7930123e-05,-0.003918404803,1.181107e-05,-0.002036546823,2.9206109e-05,0.002253824608
6.666666666667,-0.006326818538,4.703136e-05,-0.002677898125,-1.6597055e-05,-0.001083948743,-6.6894705e-05,0.001456386605
6.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.666666666667,0.006326818538,4.703136e-05,0.002677898125,-1.6597055e-05,0.001083948743,-6.6894705e-05,-0.001456386605
6.666666666667,0.012653637077,6.7930123e-05,0.003918404803,1.181107e-05,0.002036546823,2.9206109e-05,-0.002253824608
6.666666666667,0.018980455615,5.3932484e-05,0.004104611211,-1.516361e-06,0.002878889903,7.331742e-06,-0.00256643799
10.0,-0.018980455615,3.0286832e-05,-0.003170984092,-5.8099217e-05,-0.003458986488,-7.7376796e-05,0.002080795347
10.0,-0.012653637077,1.3332177e-05,-0.002109258242,-2.5328255e-05,-0.002306331234,-3.3082519e-05,0.001385144405
10.0,-0.006326818538,3.23804e-06,-0.001052115051,-5.977764e-06,-0.001153321238,-7.332826e-06,0.000691478918
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.006326818538,3.23804e-06,0.001052115051,-5.977764e-06,0.001153321238,-7.332826e-06,-0.000691478918
10.0,0.012653637077,1.3332177e-05,0.002109258242,-2.5328255e-05,0.002306331234,-3.3082519e-05,-0.001385144405
10.0,0.018980455615,3.0286832e-05,0.003170984092,-5.8099217e-05,0.003458986488,-7.7376796e-05,-0.002080795347
13.333333333333,-0.018980455615,2.57036e-05,-0.002892662375,-7.6098497e-05,-0.004038770937,-8.877595e-05,0.00188928252
13.333333333333,-0.012653637077,1.1155971e-05,-0.001919751961,-3.307093e-05,-0.002692152784,-3.7410574e-05,0.001255602441
13.333333333333,-0.006326818538,2.63919e-06,-0.000950669761,-7.94817e-06,-0.00134555885,-8.434155e-06,0.000623629632
13.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
